MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
IT,Italy,2014IT16RFOP007,1.3,Campania - ERDF,ERDF,9,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"112,182,520.00","37,394,173.00","149,576,693.00",75%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"15,047,382.00","15,047,382.00","30,094,764.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"60,236,909.00","60,236,909.00","120,473,818.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"52,189,527.00","52,189,527.00","104,379,054.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"18,794,763.00","18,794,763.00","37,589,526.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"5,000,000.00","5,000,000.00","10,000,000.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,6,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"10,006,858.00","10,006,858.00","20,013,716.00",50%
IT,Italy,2014IT16RFOP008,2,Emilia-Romagna - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"9,387,906.00","9,387,906.00","18,775,812.00",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"38,563,101.00","38,563,101.00","77,126,202.00",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"37,963,676.00","37,963,676.00","75,927,352.00",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"28,472,756.00","28,472,756.00","56,945,512.00",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"869,168.40","869,168.40","1,738,336.80",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,4,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"1,902,383.45","1,902,383.45","3,804,766.90",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"936,893.65","936,893.65","1,873,787.30",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"2,086,010.50","2,086,010.50","4,172,021.00",50%
IT,Italy,2014IT16RFOP009,2,Friuli-Venezia Giulia - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"4,595,603.00","4,595,603.00","9,191,206.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"90,000,000.00","90,000,000.00","180,000,000.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"77,135,000.00","77,135,000.00","154,270,000.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"138,200,000.00","138,200,000.00","276,400,000.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"88,000,000.00","88,000,000.00","176,000,000.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"45,000,000.00","45,000,000.00","90,000,000.00",50%
IT,Italy,2014IT16RFOP010,1.2,Lazio - ERDF,ERDF,6,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"18,197,597.00","18,197,597.00","36,395,194.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"40,000,000.00","40,000,000.00","80,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"18,000,000.00","18,000,000.00","36,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"67,500,000.00","67,500,000.00","135,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"12,500,000.00","12,500,000.00","25,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"2,500,000.00","2,500,000.00","5,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,6,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"9,000,000.00","9,000,000.00","18,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,6,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"8,500,000.00","8,500,000.00","17,000,000.00",50%
IT,Italy,2014IT16RFOP011,2,Liguria - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"7,772,620.00","7,772,620.00","15,545,240.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,I,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"174,677,500.00","174,677,500.00","349,355,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,II,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"10,000,000.00","10,000,000.00","20,000,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,III,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"147,322,500.00","147,322,500.00","294,645,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,IV,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"97,300,000.00","97,300,000.00","194,600,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,V,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"750,000.00","750,000.00","1,500,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,V,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"4,250,000.00","4,250,000.00","8,500,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,V,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"25,000,000.00","25,000,000.00","50,000,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,VI,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"9,500,000.00","9,500,000.00","19,000,000.00",50%
IT,Italy,2014IT16RFOP012,1.3,Lombardia - ERDF,ERDF,VII,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"16,437,258.00","16,437,258.00","32,874,516.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"57,093,689.00","57,093,689.00","114,187,378.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"12,168,736.00","12,168,736.00","24,337,472.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"33,906,212.00","33,906,212.00","67,812,424.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"32,724,964.00","32,724,964.00","65,449,928.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"11,418,737.00","11,418,737.00","22,837,474.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,6,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"16,312,482.00","16,312,482.00","32,624,964.00",50%
IT,Italy,2014IT16RFOP013,1.2,Marche - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"5,066,824.00","5,066,824.00","10,133,648.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,I,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"177,595,889.00","177,595,889.00","355,191,778.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,II,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"44,146,118.00","44,146,118.00","88,292,236.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,III,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"106,230,592.00","106,230,592.00","212,461,184.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,V,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"14,902,283.00","14,902,283.00","29,804,566.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,VI,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"4,750,000.00","4,750,000.00","9,500,000.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,VI,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"4,750,000.00","4,750,000.00","9,500,000.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,VI,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"14,646,118.00","14,646,118.00","29,292,236.00",50%
IT,Italy,2014IT16RFOP014,1.2,Piemonte - ERDF,ERDF,VII,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"19,316,895.00","19,316,895.00","38,633,790.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,I,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,"64,350,000.00","64,350,000.00","128,700,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,II,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,"65,168,000.00","65,168,000.00","130,336,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,III,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,"106,731,000.00","106,731,000.00","213,462,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,IV,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,"75,097,500.00","75,097,500.00","150,195,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,V,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Transition,VOID,VOID,VOID,VOID,"27,929,500.00","27,929,500.00","55,859,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,VI,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,"82,051,500.00","82,051,500.00","164,103,000.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,VII,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"25,542,541.00","25,542,541.00","51,085,082.00",50%
IT,Italy,2014IT16RFOP015,1.2,Sardegna - ERDF,ERDF,VIII,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"18,619,500.00","18,619,500.00","37,239,000.00",50%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,"342,889,179.00","114,296,393.00","457,185,572.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,10,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"124,180,577.00","41,393,526.00","165,574,103.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,11,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"78,118,621.00","26,039,541.00","104,158,162.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"256,942,723.00","85,647,574.00","342,590,297.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,"500,902,885.00","166,967,628.00","667,870,513.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"846,551,091.00","282,183,697.00","1,128,734,788.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,"221,479,774.00","73,826,591.00","295,306,365.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,6,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,"372,608,981.00","124,202,994.00","496,811,975.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,7,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"512,764,653.00","170,921,551.00","683,686,204.00",75%
IT,Italy,2014IT16RFOP016,1.2,Sicilia - ERDF,ERDF,9,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"161,992,534.00","53,997,511.00","215,990,045.00",75%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"137,554,986.00","137,554,986.00","275,109,972.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"39,781,216.00","39,781,216.00","79,562,432.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"65,234,124.00","65,234,124.00","130,468,248.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"98,343,604.00","98,343,604.00","196,687,208.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"14,858,522.00","14,858,522.00","29,717,044.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,6,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"9,842,285.00","9,842,285.00","19,684,570.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"14,763,427.00","14,763,427.00","29,526,854.00",50%
IT,Italy,2014IT16RFOP017,2.1,Toscana - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"15,849,090.00","15,849,090.00","31,698,180.00",50%
IT,Italy,2014IT16RFOP018,1.2,Trento - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"27,438,479.00","27,438,479.00","54,876,958.00",50%
IT,Italy,2014IT16RFOP018,1.2,Trento - ERDF,ERDF,2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"13,855,182.00","13,855,182.00","27,710,364.00",50%
IT,Italy,2014IT16RFOP018,1.2,Trento - ERDF,ERDF,3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"10,867,024.00","10,867,024.00","21,734,048.00",50%
IT,Italy,2014IT16RFOP018,1.2,Trento - ERDF,ERDF,4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"2,173,362.00","2,173,362.00","4,346,724.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"50,917,202.00","50,917,202.00","101,834,404.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"15,975,840.00","15,975,840.00","31,951,680.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"42,753,600.00","42,753,600.00","85,507,200.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"27,980,060.00","27,980,060.00","55,960,120.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"17,986,100.00","17,986,100.00","35,972,200.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"2,618,170.00","2,618,170.00","5,236,340.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,6,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"10,290,030.00","10,290,030.00","20,580,060.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,6,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"2,500,000.00","2,500,000.00","5,000,000.00",50%
IT,Italy,2014IT16RFOP019,1.2,Umbria - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"7,125,600.00","7,125,600.00","14,251,200.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"6,750,000.00","6,750,000.00","13,500,000.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"7,275,475.00","7,275,475.00","14,550,950.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"3,600,000.00","3,600,000.00","7,200,000.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"7,126,000.00","7,126,000.00","14,252,000.00",50%
UK,United Kingdom,2014UK16RFOP001,2.1,England - ERDF,ERDF,9,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"84,108,112.00","84,108,112.00","168,216,224.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"6,144,000.00","6,144,000.00","12,288,000.00",50%
IT,Italy,2014IT16RFOP020,1.3,Valle d'Aosta - ERDF,ERDF,6,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"1,280,000.00","1,280,000.00","2,560,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"57,000,000.00","57,000,000.00","114,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"38,500,000.00","38,500,000.00","77,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"85,369,888.00","85,369,888.00","170,739,776.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"46,279,256.00","46,279,256.00","92,558,512.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"22,500,000.00","22,500,000.00","45,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"4,000,000.00","4,000,000.00","8,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,6,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"16,500,000.00","16,500,000.00","33,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"18,000,000.00","18,000,000.00","36,000,000.00",50%
IT,Italy,2014IT16RFOP021,1.3,Veneto - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"12,006,214.00","12,006,214.00","24,012,428.00",50%
IT,Italy,2014IT16RFOP022,1.2,Basilicata - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,"47,950,000.00","47,950,000.00","95,900,000.00",50%
IT,Italy,2014IT16RFOP022,1.2,Basilicata - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"49,150,000.00","49,150,000.00","98,300,000.00",50%
IT,Italy,2014IT16RFOP022,1.2,Basilicata - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,"68,950,000.00","68,950,000.00","137,900,000.00",50%
IT,Italy,2014IT16RFOP022,1.2,Basilicata - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"66,712,000.00","66,712,000.00","133,424,000.00",50%
